,FibCassini_cpp,FibCassini_python,FibFormulaBig_string,FibFormula_python,FibFormula_string,FibLoop_cpp,FibLoop_python,FibLoop_string,FibMatrix_cpp,FibMatrix_python,FibMatrix_string,FibRecurDP_python,FibRecur_python
124,263110.99418308004,67555.52556114708,,,,110666.61750191997,10666.661978575576,1336443.8505050202,345777.6240338717,19111.102574242977,1572443.7455446604,51111.08839628287,
125,218222.12522693007,64444.41578423721,,,,168444.36959218,10666.661978575576,1545332.6465149075,503555.33176116296,41333.31503908266,1418666.0362156546,51111.08839628287,
126,255999.8862352586,67999.96981499135,,,,123555.50074971688,10666.661864888738,1626221.499464009,472444.2344468116,26222.210635751253,1327999.409795666,51111.08839628287,
127,201333.24392190843,66222.19279961428,,,,114666.61578651838,15999.992911019945,1374666.055767193,455555.35314178996,28888.87604513002,1669332.591404782,62666.63876886014,
128,428888.69825219444,71111.07947821438,,,,118222.16958989884,11999.99462642154,1379999.3866996374,309333.1959007628,17777.769926397013,1059555.0846801416,81777.74145678995,
129,315999.85959474,67111.08130730281,,,,117333.28119589714,10222.21761104447,1823554.745101319,325777.6329519402,16444.437051177374,1307554.9744598903,52444.42115781567,
130,331555.40825191565,69333.30246283731,,,,116444.39268820861,10666.661978575576,1414221.5936772118,320888.7462733401,17333.32555886591,1120443.9464336247,51111.08839628287,
131,274222.1004154999,67999.96970130451,,,,116888.83694205288,11555.550372577272,1430221.5865882318,371999.83466962294,18222.21418024128,1429777.1423343874,51999.9769039714,
132,367555.3922448671,73333.30074743571,,,,114666.61567283154,10666.661978575576,1458666.0183795174,294666.5356375888,17777.769926397013,1056443.9750169185,55111.08668088127,
133,281777.6526171656,69333.30257652415,,,,115999.94854805118,11999.994740108377,1579999.2977463263,351999.84358769143,18666.65832039871,3167998.5919481623,53333.309551817365,
134,298666.5339221872,71555.52373205865,,,,124444.38914371858,11111.106232419843,1501332.666066446,358222.06302782433,18666.65832039871,1923110.2563708192,55555.53093472554,
135,249333.22254128143,70666.63533805695,,,,123111.05638218578,11111.106232419843,1519999.3245005317,398666.4894455316,19999.991081931512,1586665.9614403034,56444.419328727236,
136,343555.4028783372,81777.74145678995,,,,156444.37496575847,11111.106232419843,1542665.9811055288,295999.86851280846,17333.32555886591,1040888.4262460561,55111.08668088127,
137,454666.4645204146,72444.41223974718,,,,117333.28119589714,32888.874216041586,1545332.6466285945,341333.18160911585,19999.99119561835,1352888.2875561975,73777.74500127998,
138,323999.8559365631,87555.51664307859,,,,165333.25981527014,10666.661978575576,1592888.1808804362,353777.62048938166,18222.21418024128,1247999.445354253,55111.086567194434,
139,255999.8862352586,73777.74500127998,,,,126666.61041293992,11111.106118733005,1589777.0712172133,401777.5992224415,19555.546828087245,1890665.8264086219,55999.975188569806,
140,318222.0807502745,74666.63350896852,,,,123555.50063603005,11555.55048626411,1636888.1614425846,319999.85776565154,17333.32555886591,1187110.58360077,55999.97507488297,
141,333333.1851536059,74666.63339528168,,,,118222.16970358568,12888.883134110074,1634221.4959195189,499110.8892227203,19999.991081931512,1567110.4146122162,58666.64059794857,
142,476444.2326177232,77333.29903203412,,,,144888.82447949436,26222.210635751253,1811110.3062210532,659555.2624730772,22222.212351152848,2207110.130257206,98222.17850796733,
143,234666.56227810745,82666.62985079165,,,,130222.16433000722,18222.21418024128,1699110.3559576003,432888.696423106,22222.212351152848,1704443.6868900447,61333.306121014175,
144,411555.37269332854,80444.40869525715,,,,130222.16433000722,12444.438880265807,1700888.1329729776,341333.18160911585,22222.212351152848,1071555.0793065631,72888.85649359145,
145,291555.4259743658,79555.52018756862,,,,130666.60858385148,12444.438880265807,2367554.5032801894,342666.51437064866,18222.21418024128,1419110.4804694988,57777.75209026004,
